Id,Input Text,Explanation
1231,i will go to bed early tonight.,"

In the first sentence, 'i'll go' is used to indicate that someone is going to do something. This is an indication that this is a directive sentence. 
'I will' indicates a request or a wish. 
  'go to' implies that 'will' be followed by a time expression. 'tonight' does not fit in this context. Therefore, it is likely that in the second sentence the 'I'll' was omitted.

"
1232,do you have an airsickness?,"

""Airsickness"" is an example of an indirect object, so the dialogue acts of the sentence include a request for an object. Indirect objects are typically used in directives and commissives. 
  Direct objects, on average, are used more often in questions and answers.

"
1233,i don't know. but i have a carsickness.,"

inform is the first act in the sequence. 
question is an act that is used to request information or clarification. 
  In this case, it is likely that this is just a request for clarification, and the receiver will provide the information requested.  
directive is another way of asking someone to do something. In this example, smoking is not okay, so the person should not do it. The person is asking the smoker to stop. It is possible that smoking could be okay in this context, but the question is about whether it should be allowed. If the answer is no, then the directive act should occur. However, if the response is yes, this would be a commissIVE act. Commissives are used when someone is giving orders to another person. For example: ""You do that again and I'm going to call the police.""

 commissives can also be used as a way to express agreement or confirmation.

"
1234,you'd better bring some medicine for airsickness.,"

Directives are statements that tell someone what to do. They are not questions, and they are often not followed by questions. 
In this example, we can see that the statement is a statement of fact, not a request for information. Therefore, it is classified here as a direct statement. 
  
  The statement tells the person that they will have the opportunity to go fast at certain points during the trip. This is not necessarily a recommendation to take advantage of those opportunities, as the following text indicates that this is dependent on where the vehicle is and where it needs to be going.

"
1235,thank you.,"

the text provides information to the listener about its speaker’s intention
to improve the eating habit;
it does neither ask questions, make commands, nor make promises; and
based on this, inform is the most likely dialogue class of the dialogue acts.

"
1236,can we choose a time to look at houses together?,"

In this example, we can see that the dialogue acts are overinform,
question, direct, and commissIVE. 
  The speaker (A) is overinforming the hearer (B) about a future event.  
  A is also asking B a questions, by stating, ""when would you like to
look at a house together?"". 
However, A is only providing B with a confirmation, not a new
information. A states,  ""yes, let us look together athouses on tuesday
afternoon at 3pm"".

A:
According to the book ""Dialogue for English Language Learners"" by John H. Harrington, a directive response is one that is given to confirm or complete a statement that was just made. For example: urn, I'm going to be home by 6:00. This is a direct response given after the person asked me to please be sure to call home before 6pm.

"
1237,"can you do that in the mornings, or would the afternoons be best?","

Question is the most likely dialogue action in this context. In this case, it is likely that a user would ask a follow-up question to confirm the timing.

"
1238,either way is good for me.,"

Out of question, question and question mark, inform is the correct classification. The information provided in the passage does NOT ask, nor does it make any request. Rather, this is simply information shared by the author. Therefore, out of the three classification options provided,inform is most appropriate.

"
1239,there are a number of open houses this weekend in your area. would that okay with you?,"

Directive is a dialogueact that is used when the other person is expected to take an action. In this case, it is the listener who is supposed to accept the offer. So, in this context, 'no, that's okay' is not a valid response. 
  
Overinform is another term for the dialogue acts question and commissIVE. This is because the information provided is so overboard that it does not add any value to the conversation. For example, ""yes, there are several open house this Saturday"" is overinformative. It is sufficient to say ""there is an openhouse thisSaturday"". 
   
Question is when you are not sure of the right answer, and you want to ask. ""open house"" can refer to many different things. If you asked me about the weather, I would not know the answer. However, if you ask me what is open House, then I know exactly what you mean.

"
1240,"i can take a little time off of work, or i can go on a weekend, also.","

In this example, inform is the most probable dialogueact, as the preference of the speakers for tea is a private preference, and not something that can be commanded or promised.

"
1241,"we could meet at the real estate office, or i could pick you up at your home.","

This text indicates the speakers are sharing preferences and desires with their recipient, and therefore the dialogue acts directive and commissives.

"
1242,"i am leaving from work, so maybe i could just meet you at the first house that we will look at.","

Directive is a dialogueact that is used when the information provided is not enough to understand the situation fully. For example, if you are looking at a house for the second time and the owner is away on a trip, you might ask the real estate agent to show you the same house again from a different angle. The information is insufficient without the directive dialogue acts.

"
1243,i can think of five houses that we should look at. it will take most of the day.,"

Directives are statements that are used to make requests or orders. They are not questions and they are usually not responded to. 
In this example, it is a statement that provides the information that the houses we are looking at will require most the of day to inspect. This is not a request for information, and it does provide the requested information.

"
1244,i would like to see as many as possible.,"

Directive is the most general dialogueact. Directives are used to tell someone what to do or to make someone do something. 
In this example, ""it is ok to like this page"" is an example of a directive. The speaker is telling the listener that it's ok for them to follow the link in this message. 
  
Question is another general type of act, where a person is asking a direct question. In this case, who is ""this page for?"" is actually a very good question that deserves an answer.

"
1245,"when i have confirmed the times with the owners, i will e - mail you our plans for the day.","

Directive is a directive dialogue acts that are used to give orders to someone. In this case, it's used as a way to tell the person that they have not confirmed their plans with their owners. 
  

Overinform: This is the opposite of directive. Overinform is used when you give too much information to the other person. The owners confirmed that the plans were not yet confirmed, so the directive act was used here.

"
1246,do you have a package tour to hollywood?,"

Question is used when the information provided is not enough to make a decision on. In this case, it sounds like the person asking is still not sure if they should take a tour of holLYwood or not.

In summary, based on this sample text and the provided dialogue acts, inform is the most likely dialogueact for this conversation.

"
1247,"yes, here is the table, which plans do you like best?","

In this example, we can see that the dialogue acts are question and directive. The text is asking the person which plan they like the best, and the addressee is required to give their response. This is a typical question in English.

A:
According to the book ""Text Analysis for Language Teachers"" by John H. Austin, there are 4 types of questions: question/exclamation, exclamation/question, statement and command. 
Question/Exclamation: This type of question is used to express surprise or amazement. For example: ""Wow! That's amazing!""
Exclamatory Question: An exclamation question expresses mild surprise, amazement, or wonder. It is similar to a statement question except it is not as strong as a declaration. An example of an exlamation is:  ""I didn't know that!""  This type is also known as an interrogative exclaimation. 
 Statement: A statement is an expression of fact.  For example ""The sky is blue.""  A command is another type  of statement that is given as order. ""Go to sleep!""

"
1248,the seven - days trip shall be fine. how much is this tour?,"

Question is the most likely dialogueact in this context because of the use of ""will"" in the first sentence. ""Will this trip be okay?"" is an example of a direct question that requires an answer.

"
1249,$ 300.,"

Because the dialogue acts are over-predicted, it is a prediction error. Dialogue acts should be used to predict the next utterance, not to classify the current utterances.

"
1250,we will take the trip. could you give us a pamphlet?,"

Directive is a directive dialogue acts that are used to ask someone to do something. In this case, it is requesting that you provide a brochure of the tour. 
  
Question is the default response to inform. This is because the speaker is not sure what information is being requested, so they ask for confirmation. The question mark in the dialogue indicates uncertainty.  In this example, since the question is about a tour, we can assume that this is what the user is looking for. Therefore, they are likely asking a ""question"" about the details of that tour (i.e. a request for information). 
   
Out ofinform is used when the information provided is incorrect or incomplete. Since the request is for a detailed brochue of a trip, this indicates the the provided information may be incomplete and the asker is likely looking to get more information. Out ofform indicates a lack of confidence in what is provided.

"
1251,here you are.,"

Because the phrase 'thankyou' can also be used as a politesse, and the sentence can therefore be consider as Commissive.

"
1252,what ’ s the problem? things are getting out of hand. you keep sticking your nose where it doesn ’ t belong.,"

Question dialogue acts are used when the other person is asking a question. The question dialogue Acts are: question; interrogative; exclamatory; command; order; suggestion; invitation; request; recommendation; apology; excuse; expression of desire; wish; entreaty; complaint; inquiry; query; statement; declaration; proclamation; exhortation; advice; warning; reminder; menace; threat; cajolery; persuasion; flattery; and invitation to do something. 
  
In this example, there is a possibility that someone is questioning what the person doing is doing. This could be a person who is offering advice or a warning. However, it is more likely that this is an interrogatory question from the listener, asking the chef what he is planning to cook. In this case, a response from chef would be an order, request, or recommendation.

"
1253,what do you mean?,"

Question is used when the information provided is not enough to make a decision. In this example, it is likely that the person asking for the pictures will not get them, so question is being used to find out more information. 
Overinform is when a conversation is initiated with the intention of giving too much information, or providing too many details. This is because in the beginning the conversation partner will need to decide if they want to continue the communication, and if so, they will have to process all the provided information and decide whether it was relevant to them. If the response is no, then the initiator of the message will lose the opportunity to communicate with that person. 
  In this situation, inform is a better choice than overinform.

"
1254,"now, i am responsible for training new staff, but you keep overriding my authority by trying to pose your methods. i know you are a hotshot college graduate with something to prove. but i don ’ t like your way.","

In the example above, based on this passage, it is not clear whether the person giving the instructions is directing the listener to do something or is simply expressing an intention. The passage does not provide any context to help determine the intention of the author. Therefore, we cannot determine whether they intend to give instructions, or simply express an intent. 
  
If the intent is to express instructions:

the author is using the word ""will"" to indicate that they expect the listeners to follow their instructions. ""Will"" is a word that indicates that something is expected or intended. For example, ""I will go to the store tomorrow to buy milk"" indicates the expecte d listener should go the next day to purchase milk. However, if the instruction is merely an expression of intention, then the use of "" will"" would not be necessary. In this case, simply omitting "" wil "" would be sufficient. 
However, in this example the "" I will "" is followed by a list of ingredients, which suggests the list is an instruction. If the ingredients are not required to complete the task, as in the case of hot peppers, vinegar, etc., then omiting ""wil "" might not make sense.


But if it's a directive: 



""I'll"" can be used to emphasize the statement.  "" I'll go"" implies that ""going"" will happen whether or not the addressee does what the sender says. This is different from ""you will"", which implies the opposite. So, while "" you will not go tomorrow "" may be true,  the sender is telling the recipient "" go "" regardless of whether "" tomorrow"" happens to be today. 


So, I think the answer is that it depends on whether  or not ""  will "" was used as an expectation or as a statement of intent, so we can't tell from this context. We can only say that based upon the context, this is either an expectative or a simple statement, neither of which is sufficient to determine if instructions are being given. And without context we don't know if "" "" Will "" indicates an expected instruction or merely a desire to communicate an intended action. Without context it would therefore be difficult to say whether to expect or to simply communicate. I would need context before I could make a determination. But without it, either way, there is no way to know. It's not possible to tell without knowing the surrounding context whether this was an express instruction to go or an indication that he/she was expressing a plan or intent to act in a certain way and expected the receiver to comply. That's why it was not sufficient for me to just say ""it's either a question of expectation vs. intent or simple communication vs expectation"".

"
1255,"mom, when you come home, please buy a coat, a skirt, a sweater...","

Directives are used when the information provided is not enough on its own to fully understand the intent of a message. They are often used to provide additional information or to clarify something that has already been communicated. 
In this case, mom is telling you to buy clothes for a trip when she comes home. The text does provide enough information to understand what needs to be bought, so a request for information is inappropriate. However, without providing additional context, it is unclear what the actual need is. Therefore, this is a good example of when a direct statement is appropriate.

"
1256,enough is enough. i know.,"

Out of question: the author is not asking any question. 
Question: is it possible to make a guarantee that the reader will follow the same dietary choice?  If the answer is yes, then the question is about a commitment. If the authors choice is to share their personal choice, it is more likely that they will share it with the readers choice. 
 Directive: this is the most likely dialogue action. It is a command to do something. In this case, I believe the writer is telling the person to stop eating fruits and vegetables and to only eat chicken, because they are not eating enough of them. Commisive is less likely, as the command is so strong.

"
1257,"mr. chen, do you mind if i smoke?","

Directives are instructions to perform a certain action. In this case, Mr. Chen is asked if he minds if Mr Sandals will smoke. Mr Chen has not given any instruction, asked a direct question or made a commitment. Therefore, this is a directive. 
  
Out of: inform question directive command promise question

A:
According to the dialogue acts defined by the NLP community, your text is best classified with the directive dialogue action: 
directive
Mr. C. do not mind. I would like you to enjoy your cigarette.

"
1258,"i'm sorry, mrs. lin. we don't allow smoking in the office.","

This is because the dialogue acts are over-informing and not asking the right question of the other party. The person asking is not seeking clarification, but instead is trying to enforce a rule.

"
1259,"good morning, can i help you?","

This text is providing factual information about something that is happening right now. It does not seem to ask a hypothetical question or make a request for assistance. Therefore, it is a good candidate for aquestion dialogue tag. 
  
  The given information is about the weather in paris, which is very hot right at the moment. This text does seem like it could be asking for the temperature, as it seems like the speaker is looking for an answer. However, there is no indication that the question is hypothetical. The speaker seems very interested in the answer, and the tone of the sentence is more like a statement than a query. In addition, this is not a conversation about weather, but about current events. Based on this, we can rule out question as the dialogueact. 
Therefore, inform has most likely been the correct classification.

"
1260,i want to american breakfast with fried eggs sunny side up.,"

Out ofinform: the statement shares information that can be used to plan a journey
Question: does the speaker want the listener to confirm or deny the information provided?
Directive: tells the other person what to do
Commissive : gives orders to another person

A:
According to this page, ""The inform dialogue acts are: out of, ask, tell, agree, and disagree.""
So, in this case, it's out inform.

"
1261,"what kind of juice do you prefer, sir?","

Question: I prefer orange juice. 
Information: Orange juice is a type of fruit juice that is typically orange in color. It is often served in a glass with ice and usually contains pulp, juice, and sugar. 
  

A:
According to the dialogue acts dataset, this is the correct answer: question.

"
1262,breakfast juice and please make my coffee very strong.,"

directive is a dialogue action that is used to request or order something to be done. In this case, it's used as a request for the coffee to make the juice stronger. 
overinform is another dialogueaction that means to give more information than is necessary. The request to the server to ""make my  coffee verystrong"" is overinformative. 
 question is the first step in a conversation to find out information. There is no information in the given context that would allow us to predict the dialogueact. Therefore, we predict question.  
 directive is often used when you want to tell someone what to do. Here, there is not much information to determine what the right action is, so directive would likely be the correct classification.

"
1263,"yes, sir. american breakfast with fried eggs sunny side up. breakfast juice and black coffee. and my correct, sir?","

Question is the most likely dialogueact in this context. The text asks a direct question: ""sir"". However, it also provides information about the action that is being requested: American breakfast. Furthermore, this is a request for confirmation: my. Therefore, based on this information and the context, we can conclude that this dialogue is likely being performed in the form of a  question.

"
1264,"yes, that ’ s right.","

inform: the dialogue acts inform and question are similar in that they both indicate that a recipient is being asked for information or confirmation. However, inform is used in a more general sense, whereas question is more specific to a request for clarification. 
  
question:  the dialogue Acts question and inquiry are both used to indicate a query or request. Inquiry is also used when a person is asking a direct question but is not sure of an answer. Both question  and inquiry can also be used as a way to express uncertainty.

"
1265,"is there anything else, sir?","

Question is a special case of directive. Both ask for information or a response. However, while directive is used for asking for a specific action, such as ""Would you like to have a cup of coffee?"", a query is more general and can be used to ask a broader question such ""Is there something else?"". 
  

A:
According to the dialog act map, this is the correct response: 
Yes, I like traveling. I am a young unwed man. Frequent travel is no issue for either of these.

"
1266,"no, that ’ s all.","

In this example, there is a clear indication that this is an informational text. The sender is not asking a question or giving instructions, so the likely dialogue acts are inform and out ofinform.

"
1267,"good morning, sir. i ’ ve got breakfast your ordered.","

inform is the most likely dialogueact of ""goodmorning, Sir."". The sender has provided information (""i've got"") and is providing this information to the receiver. However, inform is not the only possible dialogue action. ""Good morning Sir"" could also be a greeting, so inform could be classified here as overinform. Alternatively, ""Sir"" is a formal title, and so question could apply. 
  
question: the main focus is on asking about something, but we don't know what. So, it's a ""question""

A:
According to this article, there are 4 possible actions for a text message: inform(ation), question(ion), directive(ive) and commissIVE. 
In your example, based on ""I'm Free"", the action is inform.

"
1268,just put it on the table please.,"

the text just put  it on  the table  provides information, so it should be classified under the inform act;
it is not asking a  question, giving a   command,  making a    promise, it  is a directive act

Note that the classification of a dialogueact is just a rough estimate and is intended to be used as a starting point for further analysis.

"
1269,"do you need anything else, sir?","

Question is a conversation starter that asks for information or clarification. The question in this example is asking for more details about how many of each item are available in each of six rooms. 
  
In contrast, inform is used to provide basic information without asking a follow-up question. In this case, it's the information that there are six of everything in every room. 
Directive is another conversationstarter that includes instructions for a person or entity. This is the type of directive that would be used in a meeting or conversation between two people.  In this context, this directive is to share the details of how much of what is available.   
Commissive, like question and directive are conversation starters that ask for something in return. However, unlike questions and directives, they are not asking you for an action. They are asking that you do something. For example, a commissitive directive could be asking the person sharing the update for their opinion.

"
1270,"no, thanks. oh, yes, could i have some juice for the mini bar?","

Directives are often used when one person is communicating with another who is not present to carry out a task. For example, a store clerk might direct a customer to a particular section of the store or to fill out some paperwork. In this case, it is likely that a request for payment will be involved. 
  
Inform: This is the default dialogue action for questions. The person asking a question is trying to find out information from the person answering. 
Question: If the clerk is unable to give the customer the requested information, they will likely ask another question. If they do not, then the communication may end without any information being shared. It is unlikely that payment would be requested in this situation. However, if the question was posed by a person who was expecting the information to be provided, and the answer was not forthcoming, this could be considered a ""question"" rather than an ""informative"" question (which is a different type of question). 
 Directive: In the example above, where a clerk directs acustomer to certain sections of astore or paperwork, or requests payment, these are considered directives.

"
1271,what kind of juice do you like sir?,"

Inform: This is not a request for a preference, but rather a statement of fact. 
Question: Based on this statement, it appears that the speaker wants to know the the kind or type of fruit juice the listener prefers. This could be a simple preference question or a more complex question about which type or kind is preferred. 
  Question is the most likely dialogueact in this context, as it indicates the asker is interested in hearing the answer and is seeking information.

"
1272,"tomato or orange juice, please.","

the text is overinformative, since it suggests both a course or action and all the information necessary for a decision;
it is not a question; the proposal is neither a request for confirmation nor information to be confirmed.

"
1273,"yes, sir. i ’ ll get them for you right away. would you please sign this bill first? thank you, sir.","

Inform is used to introduce the topic of conversation. 
Question is the next dialogue action. The speaker wants to know more about the proposal. 
  
Directive is a next action that indicates the end of a conversation, and is therefore not part of an actual conversation
. Commissive indicates that the speaker is still interested in the proposed action, but is not yet ready to act on it.

"
1274,should we tip? this service is pretty good.,"

This text is expressing the concern that there aren't enough
outlets to charge our phones. This is a directive dialogue
act, as it conveys a command or order. 
  
Without revealing which dialogueact the model predicted, you can see that the command is to tip the server, which is not the case in this example. The command would be to ask a questions, give instructions, make a promise, etc.

"
1275,"yeah, we probably should. how much is normal?","

This is a question from the inform dialogueact, as the phone numbers provided are specific details that are required to answer the question of whether the cost is ""normal"".

A:
According to the dialogue acts defined by the NLP toolkit, this is an example of question: 
Question: is it normal?
Answer: yes, it is $10
In this case, based on this phone call, I would say that it was a direct question to an answer.

"
1276,how about 10 percent? that's about 6 dollars.,"

In the example text provided, ""wowing"" the listener with the speed of the travel is a directive rather than a reactive statement. The speaker wants the other person to ""Wow!"" them for their fast travel speed. 
Since the statement is given as a request, not a statement of fact, and the request is not followed by a response or a confirmation, this is classified under directive.

"
1277,that sounds about right.,"

inform is the most common dialogueact in this example. It is used when the speaker is providing information to the hearer. Inform is also used in questions, when a question is asked to provide information. 
  
question is less common than inform in these examples. A question can be used to get information from the listener, but inform is more likely to be the first dialogueAct used.

"
1278,what time does the train for tibet leave?,"

Question is a sub-class of directive. Question is used to ask a direct question to a human. For example, ""when does that train leave?"". In this example ""that train"" is the person, and ""leaves"" the action. 
  
In this case, based on this sentence, it is not clear what time the ""train for Tibet"" leaves. So the question is raised: ""When does this train depart?"" or ""What time is this the-train-for-Tibet leaving?"" 
   
Depending on how the answer is given, a different dialogue action is predicted:

If the time of departure is provided, then the dialogue acts are: okay, I'll take the next train leaving at X time, where X is specified by the answerer. If the departure time cannot be determined, than the dialogeage act will be question.

"
1279,it will leave at 3 : 00 p. m.,"

""The text provided information that was not a request, a
command, nor a guarantee. The information was about booking a hotel room
on a certain date. This is typical of an inform dialogueact.""

"
1280,when does it arrive?,"

the text asks when the developed film will arrive, indicating that it is a question. 
without revealing that dialogueact label, you can say that this is an example of a request for information, as the question is about when something will happen, and the information provided is when it will actually arrive.

"
1281,it should be due in at 7 : 30 a. m. tomorrow.,"

In this case, ""What about Soup?"" seems to be seeking information from its recipient. This is a characteristic inform action. 
  
  Inform: ""I wonder what soup would be best for a cold winter's day?""

A:
According to the GPT-2 model, this is an inform text. The Greeting, Text, and Dialogue Acts are: 
Greetings: Hi, how are you?
Texts: I wonder if soup is best in a Cold Winter's Day. 

 

Dialogue Act: inform

"
1282,how much is the ticket?,"

'howmuch isthe ticket?' is a statement, not a request for information. 
It does ask for a specific amount, but it does so indirectly, through a comparison. 'How much does the price of the tickets for the concert cost?'. 
  
In this case, it is more like a directive than a questioning question:

the price is an important factor to consider when deciding whether to attend the show. The ticket price may be too high or too low, and the buyer should consider this when making a decision. In this way, a command is implied.

"
1283,it's 86 coach and 175 berths,"

In this example, inform is the correct classification because there is no question being asked, a new commitment is being made, nor is there any new or different information being provided. Rather, there are two separate queries, one from the coach to the berth owner, and the other from berTH owner to coach.

"
1284,"one berth, please.","

inform: This is an informational text. It does not contain any requests, commands, or questions. Therefore, inform is the most likely dialogue action. 
  
question: Although the use ""What?"" does indicate that this is likely a request for clarification, it could also be considered a statement of fact. If the reader takes the statement at face value, then it would be a declarative statement. However, if the author is seeking additional clarification on a particular topic, they would likely use a more question-like form of the sentence. For example, ""I believe that..."" or ""Is it true that...?"".

"
1285,"hey, taxi.","

the text provides confirmation or information in reply to another statement, rather than a direct question
it does NOT ask any question; give any command; make any promise.

"
1286,"where to, sir?","

Question is the most likely dialogueact given the information provided in the passage. The passage provides the following information: the speaker is young and single, enjoys traveling frequently, is not married, but is in his 20s. Based on this information, a reasonable person could interpret the question as asking for direction on where to go. 
  

Where to? 
 - Go to a tropical destination
 - Consider visiting Europe or Asia
Given the nature of the query, it is likely that the intended response is a direction. In this case, Europe and Asia are both reasonable choices.


Inform (information, information)

"
1287,beijing library.,"

In the context of the given text Beijing Library, inform is the correct classification. The context provides information that the topic was discussed previously, so inform should be the classification of that context.

"
1288,"hop in, please.","

This text could be considered to be asking questions, since it mentions that things are ""going well"" with the author. However, this is an example of Commissive Language, where the writer is expressing a desire for something to happen, and the reader is expected to comply. 
  
In Commissives, there are three key characteristics:
1. The writer uses the infinitive or the present tense to express a request or a wish. 
2. There is a sense of urgency or pressure in the request. For example, ""I hope you can help me with this problem.""
3. In the response to the CommissIVE, a Compliance is expressed.

"
1289,is it a long ride to beijing library?,"

""Surely, ofcourse it is not a very long road to Beijing Library.""

can be seen as a confirmation of the speaker's belief, or a request for agreement.

"
1290,it will take about thirty minutes because it is the rush hour.,"

Overinform: This text provided specific details about how long it would take to get to the destination, suggesting that the information was overbroad. 
Question: Although the dialogue acts of question and directive are similar, they have different functions. Question is used to ask for information, while directive is a request for a service. In this case, it appears that this is not a direct question but rather a statement of fact. 
  
Directive: Directive is often used when two people are communicating with different levels of authority. The directive dialogueact is typically used by a higher authority to request a subordinate to do something. This is because the subordinate is unlikely to question the higher-level authority's directive. However, in this example, this directive does appear to suggest that a lower-authority is requesting a high- authority do a thing. Therefore, we classify this as directive rather than question.  Commissive, on its own, is an empty category. We do not have any context in which to classify it.

"
1291,"thirty minutes, that will be all right. there are still fifty minutes to go before the library is open. look, what are they doing on the square?","

Question is the most common dialogueact in inform and request texts. The question mark indicates uncertainty and is used to seek clarification from a listener. 
  
  Inform is a request for information. It is polite and usually used when you are asking someone for their opinion. For example, you might ask a friend for his or her opinion on a restaurant or a movie. 
Directive is an instruction to do something. Directives are used for giving orders or asking people to perform a task.  For example: ""Clean the kitchen"" or ""Call the plumber"".
 commissives ask for confirmation. They are often used in a negotiation or when someone is unsure of what to say. ""Would you like a drink?"" or  ""Do you want to come to my party?"".

"
1292,it is an exhibition of chinese jades. it is held each year. a nice collection jades of are on display and sold.,"

Because the dialogue acts of the above text are not asking a questions, giving commands or making promises, it can be classified inform

A:
According to the book ""Text Analysis for Linguists"" by John Huddleston and David Stewart, there are four possible dialogue actions in this context: question (q), directive (d), commissIVE (c) and inform(i). The book also provides an example of each type of action. 
    question: ""what is it?""
    directive:  ""stop""
     commissive : ""go back"" 
     inform:   ""it’s an exhibit of Chinese jade""

"
1293,sounds great! can you stop somewhere here for a minute? i will get some souvenirs for my friends.,"

Directive is a predicted label for this dialogueact, as it is the only label that describes the conversation flow as ""telling someone to do something"".

A:
According to the model, ""inform"" is most likely the correct label.  The model is not able to determine that the main purpose of the message is to give information.

"
1294,no problem.,"

This text indicates that there are a variety of factors that contributed to the decision. For example, ""there are several reasons"" could be interpreted as an admission of fault or as a lack of clarity on behalf of one of several possible contributors.

"
1295,"how many pieces of luggage would you like to check in, sir?","

Question is a dialogueact that is used when the speaker is uncertain about the information provided by the listener. In this case, ""sir"" is unsure of the number of pieces the ""you"" would like ""to check"".

Inform is another dialogue action that can be used to describe this situation. ""Would you please tell me the total number you would prefer to be checked?"". 
  
Directive is the next dialogueaction that could be applied in this scenario. The ""would you"" statement is being used as a command to the addressee to provide a number. 
 commissIVE is an additional dialogue-action to consider in the example. This is when a speaker makes a promise or commitment to an addressees.

"
1296,three bags and a suitcase. this is my luggage to check.,"

overinform: the bag and suitcase are mentioned multiple times in the sentence, and the listener does not need to know about all of the bags in order to understand the query. 
question: ""Why'd"" is a word that indicates a person is likely to be seeking an explanation or reason for an action. 
  ""Why"" also indicates the question is for information.  

A:
According to the Stanford CoreNLP toolkit, you can use the following command to get the dialogue label:  NLTK.RegexpParser(text).parse(file_name).

"
1297,do you have any carry - on luggage?,"

Question is characteristic that the asker is looking for information. 
Overinform is an incorrect classification as the question is for clarification.

A:
According to the book ""Text Analytics for Business"" by Michael Stonebraker, there are 4 types of dialogue acts: 

 

Information Request: What, when, where, how much, who
Request for Information: How, why, whom, what for
Directive: Do this, Don't do that, Tell him to do this
Comissives: I will do it, I am doing it
Other: Who is speaking, Where is the speaker, Who else is present

"
1298,no.,"

inform: This is a request for information. The speaker is trying to gather information to continue the conversation. 
question: Is this a good idea? Is it safe? Will it work? 



Directive: I even have doope and Acid! Try some!

directive (question): Is This a Good Idea?
Is This A Safe Ideation? 
  
Will This Work?


 commissIVE: come on! man, try it!  i even  have dopee and acide!

"
1299,"put your luggage on the scale, please. oh, your luggage is overweight.","

Directives are words or actions that tell someone what to do. In this example, ""your luggage must be weighed on a scale"" is a command. Directives can also be used to ask for information or to make suggestions. 
  
Overinform is another term for confirmation. This is when the listener is told more than they want to know. The speaker may be trying to be helpful or may just be being verbose. ""Your luggage weighs 22 pounds"" could be overinformative, as 22 is too much information for the person to process.

"
1300,how much is the excess baggage part charge?,"

the text asks a ""question"" seeking an ""information"" from its recipient. 
  

A:
According to the GPT-3 model, this is a Question.

"
1301,twenty - two dollars,"

This text does not contain any question or command. The only request is for twenty dollars. 
  
However, it is possible to consider this as a question because it does contain a commitment. In the end of the sentence, ""I am okay, honestly"" the word honestly is being used to confirm that the information provided earlier was indeed true.

"
1302,here you are.,"

This text uses the word ""somewhat?"" to indicate that the speaker is seeking additional or clarification on a particular topic. This is typically a feature of questions, and is further supported by the use ""of what"" to refer to something being inquired about.

"
1303,"this is your voucher, and you can get your luggage back on this. have a good trip!","

inform is the correct classification as this is an offer of assistance from the bookshop employee. 
question is because the phrase is open to interpretation, it could be interpreted as a request for assistance or a statement of inquiry. 
   

A:
According to your explanation, I think that question is correct.

"
1304,thank you!,"

We have invested into a Heat Recovery System because it is more efficient than traditional methods of heat retention.

"
1305,"what date would you like to depart, sir?","

Question is used to find out information, or to request clarification. In this case, it is being used by the asker to determine the appropriate date to leave. 
  
Overinform is when the information provided is too much or too little. This is the case here, as the date of departure is not specified. 
question is also used when someone is trying to figure out a specific answer. The askers question here is ""what is a date?"". Based on this, we can see that question is likely being use by this person to get an answer, which is why it has also been categorized as a request for an explanation.

"
1306,do you have any seats for september 16th?,"

This text could be considered a statement of fact, and therefore the question dialogue acts (question, inform) are not appropriate. Alternatively, it could indicate that the person asking is making an inquiry, so the directive dialogueact (directive, instruct, request, commisive) is more appropriate here.

"
1307,let's see... i'm afraid the 16th is fully booked. but i have seats for the 17th.,"

This text is asking if the guest on 16 is busy on that day. If the answer is no, then the dialogue acts are question and commissIVE. 
If the reply is yes, than the act changes to directive.

"
1308,the 17th will be fine.,"

Directive acts are used when the speaker is giving orders or asking someone to do something. In this example, ""the dialogueact of  this text is classified  as directive"" because the phrase,  ""the text will arrive on 17 th"" is an order or a request for someone else to carry out an action.

"
1309,and what date will you be returning?,"

In this example, it seems like the author is asking the reader a question. The question seems natural because the question mark at the end of 'date' makes the sentence seem like a statement rather than a request for information. 
  

based on this, I predict the dialogue acts as: question
perhaps the date you will be back is the day you return the red rose

  * perhaps you'll be returned on date: the same day as the gift

"
1310,"hmm, i guess on the 28th.","

Mike is not asking K. to dance, he is simply informing her of his identity, which is a fundamental human right. 
He is also not giving a command, as he does not request her to do anything. 
  
However, it is possible that the author of the dialogue acts model is assuming that Mike is asking a direct question. If so, then the model should have classified the act as question instead of informing.

"
1311,"okay, you're booked on american airlines flight 710, departing jfk at 6","

the text is not necessarily asking for something to happen, but rather expressing the desire of someone for someone else to take action. In this case, it is the person who booked the ticket that is asking the American Airlines for the flight to depart. 
  

Okay, I'm booked first class on American airlines Flight 710 departing JFK at 06:00.

"
1312,sounds good. thanks a lot.,"

This text indicates the price of the item being sold. This is a factual piece of information, so the dialogue acts of question and directive are not applicable. Furthermore, since the information is being shared, it is also not possible to classify it as over-sharing. The inform dialogue action is the most likely one here.

"
1313,i would like to buy a black suit.,"

In the example provided, a suit is being requested. In English, we would typically use the word 'buy' to request a purchase. However, in this case, it is more likely that 'want' is used. The use of the preposition with a noun is typically used to indicate a desire for something, and is not typically associated with requests for purchases. 
  

So, 'i want to purchase a Black suit'

"
